City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buchanan,5.8808,-10.0467,26.78,85,98,0.86,LR,1712906411
1,brejo santo,-7.4933,-38.9872,24.13,93,4,0.41,BR,1712906411
2,flying fish cove,-10.4217,105.6791,28.82,78,40,5.66,CX,1712906412
3,albany,42.6001,-73.9662,16.44,81,100,3.58,US,1712906282
4,tarrafal,15.2833,-23.7667,20.44,83,17,5.24,CV,1712906413
5,mount gambier,-37.8333,140.7667,14.93,61,100,3.32,AU,1712906413
6,iqaluit,63.7506,-68.5145,-7.15,85,100,5.14,CA,1712906413
7,sola,-13.8833,167.55,28.27,80,99,4.33,VU,1712906414
8,port elizabeth,-33.918,25.5701,16.72,67,75,4.63,ZA,1712906415
9,talnakh,69.4865,88.3972,-19.9,91,99,5.53,RU,1712906415
10,portland,45.5234,-122.6762,10.34,90,100,0.89,US,1712905996
11,west island,-12.1568,96.8225,29.99,70,40,4.12,CC,1712906416
12,aasiaat,68.7098,-52.8699,-7.45,96,100,2.83,GL,1712906417
13,vytegra,61.0064,36.4481,3.53,91,100,6.71,RU,1712906417
14,isla mujeres,21.2311,-86.731,20.09,71,8,5.22,MX,1712906418
15,fortuna,40.5982,-124.1573,8.51,96,100,0.0,US,1712906418
16,tiksi,71.6872,128.8694,-20.27,85,33,9.18,RU,1712906419
17,tonghae,37.5439,129.1069,20.16,50,28,2.23,KR,1712906419
18,tolanaro,-25.0319,46.9987,23.55,71,100,4.62,MG,1712906420
19,codrington,-38.2667,141.9667,15.35,54,100,4.25,AU,1712906421
20,murzuq,25.9155,13.9184,23.33,15,52,9.94,LY,1712906421
21,edinburgh of the seven seas,-37.0676,-12.3116,18.86,93,21,8.45,SH,1712906422
22,tayoltita,24.0833,-105.9333,19.92,39,80,2.46,MX,1712906422
23,grytviken,-54.2811,-36.5092,-0.29,78,98,4.08,GS,1712906423
24,phulbani,20.4667,84.2333,30.44,35,100,3.09,IN,1712906423
25,ghat,24.9647,10.1728,18.98,38,0,6.37,LY,1712906423
26,adamstown,-25.066,-130.1015,21.38,60,100,4.9,PN,1712906424
27,wenchang,30.904,118.4887,20.4,81,76,1.62,CN,1712906424
28,lebu,-37.6167,-73.65,9.46,90,1,2.54,CL,1712906271
29,yellowknife,62.456,-114.3525,1.34,87,75,7.2,CA,1712906425
30,manggar,-2.8833,108.2667,30.75,66,100,5.01,ID,1712906426
31,zhizdra,53.746,34.7395,9.51,66,100,4.22,RU,1712906427
32,ancud,-41.8697,-73.8203,7.97,74,0,2.86,CL,1712906427
33,kotido,2.9806,34.1331,26.96,54,97,5.37,UG,1712906428
34,atafu village,-8.5421,-172.5159,30.16,71,75,3.21,TK,1712906428
35,port-aux-francais,-49.35,70.2167,6.59,93,100,9.23,TF,1712906429
36,saguenay,48.4168,-71.0657,7.27,85,100,10.8,CA,1712906138
37,ushuaia,-54.8,-68.3,7.81,87,20,10.29,AR,1712906318
38,vorkuta,67.5,64.0,-2.72,97,100,7.6,RU,1712906430
39,puerto natales,-51.7236,-72.4875,1.87,92,46,2.09,CL,1712906431
40,faro,37.0194,-7.9322,17.88,63,0,5.66,PT,1712906431
41,kindu,-2.95,25.95,26.56,78,100,1.21,CD,1712906431
42,ocean city,39.2776,-74.5746,16.68,93,100,11.18,US,1712906432
43,bethel,41.3712,-73.414,17.05,90,100,5.66,US,1712906338
44,ilhabela,-23.7781,-45.3581,23.23,91,89,0.13,BR,1712906433
45,tsiombe,-25.3,45.4833,24.34,47,100,3.6,MG,1712906433
46,nikolayevsk-on-amure,53.1406,140.73,10.12,49,0,2.24,RU,1712906434
47,auki,-8.7676,160.7034,27.12,80,100,0.84,SB,1712906435
48,susuman,62.7833,148.1667,-5.01,78,17,1.79,RU,1712906435
49,isafjordur,66.0755,-23.124,-1.98,86,100,9.26,IS,1712906436
50,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,2.57,US,1712906436
51,el dorado,38.7666,-120.5177,13.8,73,0,1.34,US,1712906436
52,thompson,55.7435,-97.8558,-1.91,80,100,3.09,CA,1712906245
53,ezequiel montes,20.6667,-99.8833,12.53,69,100,2.74,MX,1712906437
54,salmon arm,50.6998,-119.3024,8.57,100,100,0.0,CA,1712906438
55,nuuk,64.1835,-51.7216,-3.66,80,24,2.06,GL,1712906402
56,aykhal,66.0,111.5,-15.19,69,100,3.81,RU,1712906439
57,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,48,0,4.0,RU,1712906376
58,coxim,-18.5067,-54.76,23.82,95,34,0.92,BR,1712906157
59,blackmans bay,-43.0167,147.3167,17.07,74,77,2.71,AU,1712906177
60,robbah,33.2797,6.9098,12.8,67,100,6.16,DZ,1712906441
61,wailua homesteads,22.0669,-159.378,23.24,93,75,7.2,US,1712906441
62,puerto ayora,-0.7393,-90.3518,24.75,98,11,0.45,EC,1712906441
63,egilsstadir,65.2653,-14.3948,0.95,80,75,4.63,IS,1712906442
64,wad rawah,15.1603,33.1397,30.99,9,10,6.63,SD,1712906442
65,kivioli,59.3531,26.9711,8.34,81,94,6.68,EE,1712906443
66,waitangi,-43.9535,-176.5597,16.57,95,96,3.58,NZ,1712906443
67,kingston,17.997,-76.7936,28.53,79,20,3.09,JM,1712906269
68,poronaysk,49.2167,143.1167,13.01,46,1,2.98,RU,1712906444
69,udachny,66.4167,112.4,-15.86,72,100,4.41,RU,1712906445
70,hasaki,35.7333,140.8333,17.38,80,100,6.5,JP,1712906445
71,stanley,54.868,-1.6985,11.01,85,75,1.54,GB,1712906446
72,masina,-4.3836,15.3914,25.16,88,75,3.09,CD,1712906446
73,lihue,21.9789,-159.3672,23.58,92,75,7.2,US,1712906280
74,ust'-kut,56.7938,105.7672,3.58,76,100,0.89,RU,1712906447
75,utrik,11.2278,169.8474,26.54,77,100,8.64,MH,1712906447
76,paranhos,-23.8928,-55.4311,21.69,91,100,0.84,BR,1712906183
77,constantia,44.1833,28.65,21.5,70,29,6.67,RO,1712906319
78,lompoc,34.6391,-120.4579,11.44,97,100,0.0,US,1712906449
79,san antonio de pale,-1.4014,5.6325,28.13,78,100,2.91,GQ,1712906450
80,qaqortoq,60.7167,-46.0333,-11.16,82,7,2.8,GL,1712906450
81,east london,-33.0153,27.9116,17.52,59,0,6.69,ZA,1712906451
82,pisco,-13.7,-76.2167,22.03,78,98,0.0,PE,1712906262
83,rongelap,11.1635,166.8941,26.76,76,86,8.77,MH,1712906452
84,enriquillo,17.9,-71.2333,23.95,91,13,5.89,DO,1712906452
85,kapa'a,22.0752,-159.319,23.99,93,75,7.2,US,1712906452
86,kurumkan,54.3,110.3,6.74,55,100,1.79,RU,1712906453
87,dudinka,69.4058,86.1778,-22.4,93,100,5.81,RU,1712906453
88,afaahiti,-17.75,-149.2833,26.93,86,100,10.89,PF,1712906454
89,arno,60.1167,18.6333,5.44,69,72,3.4,SE,1712906454
90,nemuro,43.3236,145.575,5.49,94,100,6.45,JP,1712906455
91,dunedin,-45.8742,170.5036,9.33,84,99,1.34,NZ,1712906180
92,amparafaravola,-17.5833,48.2167,27.03,66,15,2.82,MG,1712906456
93,ust-nera,64.5667,143.2,-0.93,86,100,3.02,RU,1712906456
94,ribeira grande,38.5167,-28.7,14.87,94,40,2.06,PT,1712906457
95,kaka,37.3482,59.6143,16.09,66,100,4.57,TM,1712906457
96,tralee,52.2704,-9.7026,12.14,94,75,7.72,IE,1712906458
97,karratha,-20.7377,116.8463,30.81,42,0,4.92,AU,1712906458
98,mirnyy,62.5353,113.9611,-12.65,75,100,1.79,RU,1712906459
99,tazovsky,67.4667,78.7,-13.4,88,100,11.84,RU,1712906459
100,kalmunai,7.4167,81.8167,30.55,67,100,5.42,LK,1712906460
101,uglegorsk,49.0833,142.0333,5.89,86,28,3.68,RU,1712906460
102,fale old settlement,-9.3852,-171.2468,30.11,72,100,3.67,TK,1712906460
103,xining,36.6167,101.7667,21.0,28,0,3.59,CN,1712906461
104,orkney,-26.9802,26.6727,17.07,55,69,3.77,ZA,1712906461
105,anadyr,64.75,177.4833,-9.72,85,0,4.0,RU,1712906462
106,kokemaki,61.2565,22.3564,4.88,81,82,4.46,FI,1712906462
107,ilulissat,69.2167,-51.1,-6.99,93,100,1.03,GL,1712906463
108,college,64.8569,-147.8028,3.18,52,100,1.54,US,1712906170
109,kenora,49.8167,-94.4337,3.54,87,75,3.09,CA,1712906438
110,daru,-9.0763,143.2092,27.28,81,100,5.32,PG,1712906464
111,izki,22.9333,57.7667,29.65,32,100,4.11,OM,1712906465
112,longyearbyen,78.2186,15.6401,-16.09,66,40,4.63,SJ,1712906465
113,mashava,-20.0367,30.4823,15.7,85,100,4.85,ZW,1712906466
114,pampa,35.5362,-100.9599,12.02,58,0,5.66,US,1712906466
115,san patricio,28.017,-97.5169,21.02,55,66,3.32,US,1712906467
116,margaret river,-33.95,115.0667,25.46,38,41,1.58,AU,1712906294
117,mount isa,-20.7333,139.5,28.87,21,0,3.6,AU,1712906467
118,avarua,-21.2078,-159.775,28.03,94,40,6.69,CK,1712906468
119,colonia,50.9333,6.95,14.98,83,100,2.57,DE,1712906360
120,st. john's,47.5649,-52.7093,0.54,88,0,6.17,CA,1712906289
121,bredasdorp,-34.5322,20.0403,15.32,65,7,4.77,ZA,1712906470
122,geraldton,-28.7667,114.6,26.23,44,20,8.75,AU,1712906392
123,guerrero negro,27.9769,-114.0611,16.22,82,100,4.43,MX,1712906471
124,bilibino,68.0546,166.4372,-8.41,85,99,0.97,RU,1712906471
125,"laikit, laikit ii (dimembe)",1.4792,124.9735,29.47,66,20,4.12,ID,1712906471
126,fada,9.5667,8.3,25.22,60,100,1.87,NG,1712906472
127,griffith,41.5284,-87.4237,10.62,93,100,3.6,US,1712906472
128,angaur state,6.906,134.13,28.5,76,96,5.42,PW,1712906473
129,curillo,1.0333,-75.9191,22.33,99,100,0.45,CO,1712906174
130,badger,64.8,-147.5333,3.14,60,100,1.54,US,1712906474
131,sisimiut,66.9395,-53.6735,-5.84,94,99,3.75,GL,1712906474
132,port saint john's,-31.6229,29.5448,18.2,52,27,5.07,ZA,1712906475
133,hithadhoo,-0.6,73.0833,28.46,78,99,5.34,MV,1712906475
134,hermanus,-34.4187,19.2345,16.0,71,6,6.43,ZA,1712906476
135,kailua-kona,19.6406,-155.9956,24.98,92,100,4.12,US,1712906476
136,tuma,55.148,40.5537,12.11,56,100,4.99,RU,1712906476
137,san luis de la loma,17.2706,-100.8939,25.17,74,1,1.43,MX,1712906477
138,pumiao,22.75,108.4833,28.22,64,100,5.97,CN,1712906477
139,broken hill,-31.95,141.4333,19.12,36,100,4.23,AU,1712906314
140,campo grande,-20.4428,-54.6464,22.75,100,40,2.06,BR,1712906189
141,canto do buriti,-8.11,-42.9444,22.55,96,100,0.75,BR,1712906479
142,baxter,46.3433,-94.2867,6.9,71,0,4.63,US,1712906272
143,shingu,33.7333,135.9833,16.96,67,100,1.65,JP,1712906480
144,mejit,10.2753,170.8646,26.73,79,100,8.48,MH,1712906480
145,janakpur,26.7183,85.9065,37.11,14,7,2.38,NP,1712906481
146,bousso,10.4795,16.7117,33.04,9,95,2.3,TD,1712906481
147,tangier,35.7806,-5.8137,16.64,72,0,10.29,MA,1712906482
148,midland,31.9974,-102.0779,15.83,29,0,4.12,US,1712906482
149,nosy varika,-20.5833,48.5333,26.4,84,72,2.63,MG,1712906483
150,coyhaique,-45.5752,-72.0662,-1.03,93,0,0.0,CL,1712906233
151,magadan,59.5667,150.8,-0.82,89,44,1.42,RU,1712906484
152,nouadhibou,20.931,-17.0347,18.99,88,0,5.66,MR,1712906484
153,hagere maryam,5.6333,38.2333,23.05,59,84,3.84,ET,1712906484
154,klyuchi,52.2667,79.1667,3.48,46,94,2.92,RU,1712906485
155,kodiak,57.79,-152.4072,3.73,70,20,6.17,US,1712906485
156,saudarkrokur,65.7461,-19.6394,-0.64,97,100,5.34,IS,1712906486
157,kyelang,32.5833,77.0333,0.21,58,100,2.0,IN,1712906357
158,fort mcmurray,56.7268,-111.381,5.77,48,100,3.09,CA,1712906487
159,nova xavantina,-14.6667,-52.35,22.82,95,100,0.71,BR,1712906488
160,faya-largeau,17.9257,19.1043,29.15,7,64,10.53,TD,1712906488
161,polyarnyy,69.1989,33.4478,-1.01,79,100,6.67,RU,1712906489
162,port mathurin,-19.6833,63.4167,26.91,74,15,4.1,MU,1712906489
163,winnemucca,40.973,-117.7357,11.03,43,0,3.09,US,1712906490
164,rehti,22.7333,77.4333,36.23,21,15,4.23,IN,1712906490
165,iguape,-24.7081,-47.5553,23.22,88,100,1.47,BR,1712906491
166,quellon,-43.1167,-73.6167,8.31,82,0,2.66,CL,1712906491
167,papatowai,-46.5619,169.4708,6.53,87,44,1.35,NZ,1712906492
168,hadibu,12.65,54.0333,29.88,61,25,0.94,YE,1712906492
169,belmopan,17.25,-88.7667,24.21,97,100,2.12,BZ,1712906492
170,labytnangi,66.6572,66.4183,0.21,100,100,1.39,RU,1712906493
171,port alfred,-33.5906,26.891,17.88,71,100,2.68,ZA,1712906493
172,nieuw amsterdam,5.8833,-55.0833,24.81,91,66,3.81,SR,1712906494
173,terrace,54.5163,-128.6035,5.12,87,100,2.06,CA,1712906495
174,primero de mayo,-32.2552,-58.4228,14.19,84,100,4.47,AR,1712906495
175,el calafate,-50.3408,-72.2768,5.05,61,0,1.74,AR,1712906496
176,whitehorse,60.7161,-135.0538,2.43,41,75,5.66,CA,1712906496
177,amahai,-3.3333,128.9167,27.92,78,98,1.25,ID,1712906497
178,langzhong,31.5504,105.9938,26.34,49,100,2.67,CN,1712906497
179,forster,-32.1667,152.5167,20.72,80,7,2.69,AU,1712906498
180,vadso,70.0744,29.7487,0.49,86,75,3.09,NO,1712906498
181,al jahra',29.3375,47.6581,28.12,26,0,5.01,KW,1712906499
182,korla,41.7597,86.1469,24.71,13,7,9.65,CN,1712906499
183,souillac,-20.5167,57.5167,31.3,66,40,5.14,MU,1712906500
184,jieshi,22.8134,115.8257,24.24,79,7,4.52,CN,1712906500
185,revda,56.801,59.9303,11.7,53,100,6.76,RU,1712906500
186,lazaro cardenas,17.9583,-102.2,23.42,78,87,1.15,MX,1712906501
187,dambulla,7.86,80.6517,33.01,53,100,5.73,LK,1712906501
188,collie,-33.3667,116.15,26.57,26,55,3.7,AU,1712906502
189,parnu,58.3859,24.4971,11.05,76,100,4.63,EE,1712906503
190,lobatse,-25.2167,25.6667,16.75,63,0,5.11,BW,1712906503
191,sredets,42.3475,27.179,21.06,63,1,2.52,BG,1712906504
192,invercargill,-46.4,168.35,8.9,84,82,2.68,NZ,1712906382
193,uliastay,47.7417,96.8444,9.57,37,100,7.8,MN,1712906477
194,chonchi,-42.6128,-73.8092,5.56,75,0,0.87,CL,1712906275
195,rifle,39.5347,-107.7831,9.39,41,0,0.0,US,1712906506
196,weno,7.4515,151.8468,27.97,100,100,5.14,FM,1712906507
197,poxoreo,-15.8372,-54.3892,22.89,93,100,1.04,BR,1712906507
198,tadine,-21.55,167.8833,23.85,77,100,4.15,NC,1712906508
199,shenjiamen,29.9576,122.298,15.05,96,90,3.33,CN,1712906509
200,karayazi,39.7028,42.1456,5.72,74,27,3.17,TR,1712906509
201,pokaran,26.9167,71.9167,37.76,16,100,5.57,IN,1712906510
202,la passe,45.5549,-0.8967,13.13,88,34,2.78,FR,1712906511
203,altay,47.8667,88.1167,0.94,86,100,7.11,CN,1712906511
204,magdagachi,53.45,125.8,0.98,99,100,1.36,RU,1712906511
205,santiago de cao,-7.9589,-79.2392,20.07,83,97,1.54,PE,1712906512
206,voskresensk,55.3125,38.6636,12.52,73,98,3.58,RU,1712906513
207,zhengzhou,34.7578,113.6486,28.9,28,0,3.63,CN,1712905841
208,new norfolk,-42.7826,147.0587,16.72,91,99,1.23,AU,1712906514
209,zukowo,54.3422,18.3648,14.79,69,75,7.72,PL,1712906514
210,antsiranana,-12.2787,49.2917,31.42,66,40,4.12,MG,1712906515
211,uturoa,-16.7333,-151.4333,28.88,78,88,9.07,PF,1712906515
212,malpica,43.3228,-8.8105,17.16,94,2,1.55,ES,1712906516
213,okhotsk,59.3833,143.3,-0.32,88,41,1.39,RU,1712906516
214,chestertown,39.209,-76.0666,20.08,89,100,11.79,US,1712906517
215,vilyuchinsk,52.9306,158.4028,5.15,96,88,0.9,RU,1712906517
216,saint-pierre,-21.3393,55.4781,30.82,66,0,2.57,RE,1712906304
217,homer,59.6425,-151.5483,4.33,67,100,4.47,US,1712906518
218,semera,11.501,41.201,30.45,45,60,1.72,ET,1712906519
219,laramie,41.3114,-105.5911,3.64,50,0,4.63,US,1712906331
220,acarau,-2.8856,-40.12,25.75,90,100,2.32,BR,1712906519
221,kirando,-7.4167,30.6,25.35,75,74,1.61,TZ,1712906520
222,koryazhma,61.3143,47.1691,6.62,74,100,5.23,RU,1712906520
223,jiazi,22.8779,116.067,25.88,70,1,4.32,CN,1712906521
224,olonkinbyen,70.9221,-8.7187,-7.48,88,100,9.38,SJ,1712906522
225,grojec,51.8625,20.8676,15.81,67,99,4.0,PL,1712906523
226,linkou,45.3,130.2833,21.79,37,84,7.65,CN,1712906523
227,toliara,-23.35,43.6667,25.37,56,77,5.85,MG,1712906524
228,touros,-5.1989,-35.4608,25.44,91,30,2.32,BR,1712906524
229,nushki,29.5542,66.0215,30.69,15,97,11.53,PK,1712906525
230,kirakira,-10.4544,161.9205,27.56,79,98,1.95,SB,1712906525
231,coxen hole,16.3244,-86.5366,27.46,83,2,4.51,HN,1712906526
232,enewetak,11.3474,162.3373,26.78,81,96,9.34,MH,1712906476
233,carnarvon,-24.8667,113.6333,26.63,56,38,7.03,AU,1712906527
234,hami,42.8,93.45,24.01,14,4,1.5,CN,1712906527
235,ivdel',60.6911,60.4206,5.57,90,94,3.58,RU,1712906528
236,baymak,52.5933,58.3225,12.64,65,100,9.26,RU,1712906313
237,formosa do rio preto,-11.0483,-45.1931,23.58,80,29,1.21,BR,1712906529
238,happy valley-goose bay,53.3168,-60.3315,3.17,70,75,1.54,CA,1712906530
239,ocean shores,46.9737,-124.1563,8.34,95,100,0.45,US,1712906530
240,alice town,25.7167,-79.3,25.97,83,51,8.19,BS,1712906531
241,takoradi,4.8845,-1.7554,27.32,81,100,1.8,GH,1712906141
242,las heras,-46.5419,-68.9359,7.99,35,0,2.7,AR,1712906433
243,platteville,42.7342,-90.4785,10.14,79,75,5.66,US,1712906532
244,puerto cabezas,14.0351,-83.3888,25.71,86,12,3.28,NI,1712906532
245,jaora,23.6333,75.1333,34.93,24,0,5.32,IN,1712906533
246,zizur mayor,42.7879,-1.6907,9.5,81,0,0.89,ES,1712906533
247,nantucket,41.2835,-70.0995,12.08,95,75,9.26,US,1712906494
248,strelka,58.0728,93.0344,-3.18,59,100,3.98,RU,1712906534
249,ambalavao,-21.8333,46.9333,21.61,82,97,0.86,MG,1712906535
250,saldanha,-33.0117,17.9442,19.03,58,7,3.89,ZA,1712906535
251,crane,31.3974,-102.3501,18.4,23,39,6.03,US,1712906536
252,kudahuvadhoo,2.6708,72.8944,29.44,70,29,0.97,MV,1712906478
253,vyazemskiy,47.5378,134.7525,20.96,32,61,4.86,RU,1712906537
254,olyokminsk,60.3736,120.4264,-2.8,54,100,2.1,RU,1712906537
255,ak'ordat,15.5486,37.8867,29.04,38,3,2.4,ER,1712906538
256,pierre,44.3683,-100.351,4.6,69,0,2.57,US,1712906381
257,santa marta de ortigueira,43.6833,-7.85,14.03,92,0,1.51,ES,1712906537
258,caluula,11.9661,50.7569,29.15,68,40,3.31,SO,1712906539
259,padangsidempuan,1.3667,99.2667,32.11,51,72,1.53,ID,1712906540
260,colipapa,9.4726,122.5616,28.66,74,100,3.39,PH,1712906540
261,nagqu,31.5,92.0,5.16,16,100,11.0,CN,1712906541
262,myeik,12.4333,98.6,33.14,61,99,6.42,MM,1712906541
263,alice springs,-23.7,133.8833,26.79,20,0,5.14,AU,1712906358
264,cockburn town,21.4612,-71.1419,25.14,82,1,9.01,TC,1712906542
265,goulburn,-34.75,149.7167,15.59,70,1,2.64,AU,1712906274
266,tocopilla,-22.092,-70.1979,19.69,84,6,4.64,CL,1712906543
267,santana,-0.0583,-51.1817,26.1,94,75,0.51,BR,1712906543
268,koraput,18.8167,82.7167,27.03,42,100,3.24,IN,1712906544
269,singkawang,0.9,109.0,28.77,82,74,2.28,ID,1712906544
270,benguela,-12.5763,13.4055,25.39,88,100,1.03,AO,1712906545
271,rikaze,29.25,88.8833,12.16,9,100,3.44,CN,1712906545
272,georgetown,5.4112,100.3354,33.97,57,20,5.66,MY,1712906432
273,labrador city,52.9463,-66.9114,2.88,67,100,4.02,CA,1712906546
274,maputo,-25.9653,32.5892,21.82,49,40,6.69,MZ,1712906547
275,rio grande,-32.035,-52.0986,19.94,64,100,7.3,BR,1712906488
276,adam,22.3756,57.5233,31.13,26,100,1.28,OM,1712906548
277,qamdo,31.1667,97.2333,6.42,30,11,4.27,CN,1712906548
278,yeppoon,-23.1333,150.7333,25.88,71,0,7.49,AU,1712906548
279,cabo san lucas,22.8909,-109.9124,22.09,44,100,1.79,MX,1712906263
280,yelizovo,53.1873,158.3805,5.08,48,0,4.0,RU,1712906549
281,houghton,47.1219,-88.569,6.71,89,100,5.14,US,1712906550
282,nar'yan-mar,67.6713,53.087,-7.72,92,100,7.6,RU,1712906550
283,christchurch,-43.5333,172.6333,11.41,92,75,5.14,NZ,1712906069
284,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.79,RU,1712906551
285,corner brook,48.9667,-57.9484,3.09,72,100,1.97,CA,1712906467
286,kenai,60.5544,-151.2583,2.27,90,100,4.12,US,1712906552
287,tatarsk,55.219,75.9828,2.86,52,100,6.98,RU,1712906553
288,remire-montjoly,4.9167,-52.2667,28.02,83,75,4.63,GF,1712906553
